"","Entity","Code","Day","restrictions_internal_movements"
"436","Mexico","MEX","2021-03-11",2
"437","Mexico","MEX","2021-03-12",2
"438","Mexico","MEX","2021-03-13",2
"439","Mexico","MEX","2021-03-14",2
"440","Mexico","MEX","2021-03-15",2
"441","Mexico","MEX","2021-03-16",2
"442","Mexico","MEX","2021-03-17",2
"443","Mexico","MEX","2021-03-18",2
"444","Mexico","MEX","2021-03-19",2
"445","Mexico","MEX","2021-03-20",2
"446","Mexico","MEX","2021-03-21",2
"447","Mexico","MEX","2021-03-22",2
"448","Mexico","MEX","2021-03-23",2
"449","Mexico","MEX","2021-03-24",2
"450","Mexico","MEX","2021-03-25",2
"451","Mexico","MEX","2021-03-26",2
"452","Mexico","MEX","2021-03-27",2
"453","Mexico","MEX","2021-03-28",2
"454","Mexico","MEX","2021-03-29",2
"455","Mexico","MEX","2021-03-30",2
"456","Mexico","MEX","2021-03-31",2
"457","Mexico","MEX","2021-04-01",2
"458","Mexico","MEX","2021-04-02",2
"459","Mexico","MEX","2021-04-03",2
"460","Mexico","MEX","2021-04-04",2
"461","Mexico","MEX","2021-04-05",2
"462","Mexico","MEX","2021-04-06",2
"463","Mexico","MEX","2021-04-07",2
"464","Mexico","MEX","2021-04-08",2
"465","Mexico","MEX","2021-04-09",2
"466","Mexico","MEX","2021-04-10",2
"467","Mexico","MEX","2021-04-11",2
"468","Mexico","MEX","2021-04-12",2
"469","Mexico","MEX","2021-04-13",2
"470","Mexico","MEX","2021-04-14",2
"471","Mexico","MEX","2021-04-15",2
"472","Mexico","MEX","2021-04-16",2
"473","Mexico","MEX","2021-04-17",2
"474","Mexico","MEX","2021-04-18",2
"475","Mexico","MEX","2021-04-19",2
"476","Mexico","MEX","2021-04-20",2
"477","Mexico","MEX","2021-04-21",2
"478","Mexico","MEX","2021-04-22",2
"479","Mexico","MEX","2021-04-23",2
"480","Mexico","MEX","2021-04-24",2
"481","Mexico","MEX","2021-04-25",2
"482","Mexico","MEX","2021-04-26",2
"483","Mexico","MEX","2021-04-27",2
"484","Mexico","MEX","2021-04-28",2
"485","Mexico","MEX","2021-04-29",2
"486","Mexico","MEX","2021-04-30",2
"487","Mexico","MEX","2021-05-01",2
"488","Mexico","MEX","2021-05-02",2
"489","Mexico","MEX","2021-05-03",2
"490","Mexico","MEX","2021-05-04",2
"491","Mexico","MEX","2021-05-05",2
"492","Mexico","MEX","2021-05-06",2
"493","Mexico","MEX","2021-05-07",2
"494","Mexico","MEX","2021-05-08",2
"495","Mexico","MEX","2021-05-09",2
"496","Mexico","MEX","2021-05-10",2
"497","Mexico","MEX","2021-05-11",2
"498","Mexico","MEX","2021-05-12",2
"499","Mexico","MEX","2021-05-13",2
"500","Mexico","MEX","2021-05-14",2
"501","Mexico","MEX","2021-05-15",2
"502","Mexico","MEX","2021-05-16",2
"503","Mexico","MEX","2021-05-17",2
"504","Mexico","MEX","2021-05-18",2
"505","Mexico","MEX","2021-05-19",2
"506","Mexico","MEX","2021-05-20",2
"507","Mexico","MEX","2021-05-21",2
"508","Mexico","MEX","2021-05-22",2
"509","Mexico","MEX","2021-05-23",2
"510","Mexico","MEX","2021-05-24",2
"511","Mexico","MEX","2021-05-25",2
"512","Mexico","MEX","2021-05-26",2
"513","Mexico","MEX","2021-05-27",2
"514","Mexico","MEX","2021-05-28",2
"515","Mexico","MEX","2021-05-29",2
"516","Mexico","MEX","2021-05-30",2
"517","Mexico","MEX","2021-05-31",2
"518","Mexico","MEX","2021-06-01",2
"519","Mexico","MEX","2021-06-02",2
"520","Mexico","MEX","2021-06-03",2
"521","Mexico","MEX","2021-06-04",2
"522","Mexico","MEX","2021-06-05",2
"523","Mexico","MEX","2021-06-06",2
"524","Mexico","MEX","2021-06-07",2
"525","Mexico","MEX","2021-06-08",2
"526","Mexico","MEX","2021-06-09",2
"527","Mexico","MEX","2021-06-10",2
"528","Mexico","MEX","2021-06-11",2
"529","Mexico","MEX","2021-06-12",2
"530","Mexico","MEX","2021-06-13",2
"531","Mexico","MEX","2021-06-14",2
"532","Mexico","MEX","2021-06-15",2
"533","Mexico","MEX","2021-06-16",2
"534","Mexico","MEX","2021-06-17",2
"535","Mexico","MEX","2021-06-18",2
"536","Mexico","MEX","2021-06-19",2
"537","Mexico","MEX","2021-06-20",2
"538","Mexico","MEX","2021-06-21",2
"539","Mexico","MEX","2021-06-22",2
"540","Mexico","MEX","2021-06-23",2
"541","Mexico","MEX","2021-06-24",2
"542","Mexico","MEX","2021-06-25",2
"543","Mexico","MEX","2021-06-26",2
"544","Mexico","MEX","2021-06-27",2
"545","Mexico","MEX","2021-06-28",2
"546","Mexico","MEX","2021-06-29",2
"547","Mexico","MEX","2021-06-30",2
"548","Mexico","MEX","2021-07-01",2
"549","Mexico","MEX","2021-07-02",2
"550","Mexico","MEX","2021-07-03",2
"551","Mexico","MEX","2021-07-04",2
"552","Mexico","MEX","2021-07-05",2
"553","Mexico","MEX","2021-07-06",2
"554","Mexico","MEX","2021-07-07",2
"555","Mexico","MEX","2021-07-08",2
"556","Mexico","MEX","2021-07-09",2
"557","Mexico","MEX","2021-07-10",2
"558","Mexico","MEX","2021-07-11",2
"559","Mexico","MEX","2021-07-12",2
"560","Mexico","MEX","2021-07-13",2
"561","Mexico","MEX","2021-07-14",2
"562","Mexico","MEX","2021-07-15",2
"563","Mexico","MEX","2021-07-16",2
"564","Mexico","MEX","2021-07-17",2
"565","Mexico","MEX","2021-07-18",2
"566","Mexico","MEX","2021-07-19",2
"567","Mexico","MEX","2021-07-20",2
"568","Mexico","MEX","2021-07-21",2
"569","Mexico","MEX","2021-07-22",2
"570","Mexico","MEX","2021-07-23",2
"571","Mexico","MEX","2021-07-24",2
"572","Mexico","MEX","2021-07-25",2
"573","Mexico","MEX","2021-07-26",2
"574","Mexico","MEX","2021-07-27",2
"575","Mexico","MEX","2021-07-28",2
"576","Mexico","MEX","2021-07-29",2
"577","Mexico","MEX","2021-07-30",2
"578","Mexico","MEX","2021-07-31",2
"579","Mexico","MEX","2021-08-01",2
"580","Mexico","MEX","2021-08-02",2
"581","Mexico","MEX","2021-08-03",2
"582","Mexico","MEX","2021-08-04",2
"583","Mexico","MEX","2021-08-05",2
"584","Mexico","MEX","2021-08-06",2
"585","Mexico","MEX","2021-08-07",2
"586","Mexico","MEX","2021-08-08",2
"587","Mexico","MEX","2021-08-09",2
"588","Mexico","MEX","2021-08-10",2
"589","Mexico","MEX","2021-08-11",2
"590","Mexico","MEX","2021-08-12",2
"591","Mexico","MEX","2021-08-13",2
"592","Mexico","MEX","2021-08-14",2
"593","Mexico","MEX","2021-08-15",2
"594","Mexico","MEX","2021-08-16",2
"595","Mexico","MEX","2021-08-17",2
"596","Mexico","MEX","2021-08-18",2
"597","Mexico","MEX","2021-08-19",2
"598","Mexico","MEX","2021-08-20",2
"599","Mexico","MEX","2021-08-21",2
"600","Mexico","MEX","2021-08-22",2
"601","Mexico","MEX","2021-08-23",2
"602","Mexico","MEX","2021-08-24",2
"603","Mexico","MEX","2021-08-25",2
"604","Mexico","MEX","2021-08-26",2
"605","Mexico","MEX","2021-08-27",2
"606","Mexico","MEX","2021-08-28",2
"607","Mexico","MEX","2021-08-29",2
"608","Mexico","MEX","2021-08-30",2
"609","Mexico","MEX","2021-08-31",2
"610","Mexico","MEX","2021-09-01",2
